corridorName,direction,tapInStopsName,tapOutStopsName,payCardBank,payCardSex
Matraman Baru - Ancol,1.0,Pal Putih,Tegalan,emoney,M
Stasiun Tebet - Karet via Patra Kuningan,0.0,Kemenkes 2,Sampoerna Strategic,dki,F
Pantai Maju - Kota,0.0,Gg. Kunir II,Simpang Kunir Kemukus,dki,F
Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Taman Elok 1,Raya Penggilingan,flazz,F
Tanjung Priok - Pluit,0.0,Sunter Boulevard Barat,Kali Besar Barat,flazz,M
Cibubur - Balai Kota,0.0,Benhil 3,Grand Sahid,dki,F
PGC 2 - Grogol 2,1.0,Slipi Petamburan Arah Selatan,Semanggi,dki,F
Pulo Gadung 2 - Tosari,1.0,Pasar Rumput,Matraman 2,dki,F
Pasar Minggu - Jagakarsa,1.0,Gelanggang Remaja Pasar Minggu,Jln. Gabus Raya,online,M
Ciputat - Kampung Rambutan,0.0,SMK Darussalam,Pusdiklat Kemenag 1,dki,M
Ciledug - Tendean,1.0,JORR,Adam Malik,brizzi,F
Terminal Tanjung Priok - Ancol Barat,0.0,Gunung Sahari Mangga Dua Timur,Jln. Ancol Barat 6,dki,M
Poris Plawad - Bundaran Senayan,1.0,RS Harapan Kita Arah Utara,Term. Poris Plawad,emoney,F
Cililitan - Condet,0.0,Lippo Mall Kramat Jati,Jln. Mesjid Al Mabruk,emoney,F
Ragunan - Gelora Bung Karno,0.0,Tirtayasa,Masjid Agung,flazz,M
Kampung Melayu - Pulo Gebang via BKT,0.0,Masjid Jami At Taqwa 2,SMAN 100,emoney,M
Kampung Melayu - Duren Sawit,0.0,Simpang Pahlawan Revolusi 1,RS Duren Sawit 2,dki,F
Pulo Gebang - Matraman,0.0,St. Jatinegara 2,Jatinegara RS Premier,dki,F
Pesanggrahan - Blok M,0.0,Univ. Moestopo Bintaro,Bintaro Park VIew,flazz,F
Pantai Maju - Kota,0.0,Pantai Maju,SD Diakonia 1,emoney,M
Senen - Blok M,0.0,Balai Kota 1,Bundaran Senayan 1,dki,F
Pancoran - Kampung Rambutan,0.0,Cikoko Stasiun Cawang Arah Barat,Pancoran Tugu Arah Barat,emoney,M
Senen - Lebak Bulus,1.0,Lebak Bulus,Kuningan Timur,emoney,M
Monas - Pantai Indah Kapuk,1.0,Monas 2,Monas 3,flazz,F
Bulak Turi - Tanjung Priok,0.0,Pertamina Kilang Minyak,Jln. Elpa Putih II,flazz,F
Pulo Gebang - Pulo Gadung 2,0.0,Kampung Sumur,Flyover Klender,dki,F
Terminal Tanah Merah - Pulo Gadung,0.0,Jln. Gading Mas Barat IV,Simpang Jln. Bongo Raya,dki,F
Pinang Ranti - Pramuka,0.0,Garuda Taman Mini,BKN,emoney,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Sbr. Jln. Cikoko Timur I,St. Duren Kalibata 4,dki,M
Kampung Melayu - Pondok Kelapa,1.0,Sbr. Dirjen Anggaran,Sbr. Klinik Win Medika,dki,F
Pulo Gadung - Monas,0.0,Rawa Selatan,Pecenongan,dki,F
Ciledug - Tendean,1.0,CSW 1,Velbak,emoney,F
Pondok Kelapa - BKN,1.0,Komplek Dolog Jaya,Jln. Swakarsa III Pondok Kelapa,emoney,M
Pulo Gebang - Matraman,1.0,Pasar Enjo,Imigrasi Jakarta Timur,flazz,F
